L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5903,37.899,60.2348,1.63906,1.26052,1.44037,108.864,0.0401356,7.33665,6.64533,39.5886,1.6121,0.614257,0.794116,22.6824,0.0216797,1.6553,1.33544,7.66305,3.34843
38.5903,37.899,60.235,1.55191,1.26095,1.44072,108.878,0.0383617,7.33665,6.64533,39.5888,1.52495,0.614693,0.794457,22.6962,0.0213877,1.65511,1.33628,7.65854,3.35371
38.5903,37.899,60.2351,1.61384,1.2592,1.43945,108.876,0.039877,7.33665,6.64533,39.589,1.58687,0.612944,0.793187,22.6947,0.0216844,1.65516,1.33568,7.65988,3.34994
38.5903,37.899,60.2346,1.46661,1.25977,1.43987,108.871,0.0382989,7.33665,6.64533,39.5884,1.43964,0.613511,0.793607,22.6891,0.0206392,1.65525,1.3371,7.66167,3.35894
38.5903,37.899,60.2347,1.57093,1.26087,1.44067,108.893,0.0387092,7.33665,6.64533,39.5886,1.54396,0.614608,0.794415,22.7113,0.0214139,1.65489,1.33609,7.65377,3.35257
38.5903,37.899,60.234,1.54554,1.25911,1.43977,108.879,0.0394858,7.33665,6.64533,39.5879,1.51858,0.612851,0.79351,22.6979,0.0215725,1.65511,1.33635,7.65881,3.35416
38.5903,37.899,60.2344,1.53929,1.25972,1.44005,108.876,0.0383527,7.33665,6.64533,39.5882,1.51232,0.613461,0.793791,22.6948,0.0209806,1.65516,1.3364,7.65972,3.35452
38.5903,37.899,60.2344,1.55626,1.25897,1.43958,108.845,0.0396359,7.33665,6.64533,39.5883,1.52929,0.612706,0.793325,22.6633,0.0215854,1.65563,1.33624,7.6699,3.35348
38.5903,37.899,60.2351,1.6559,1.2629,1.44189,108.933,0.0384502,7.33665,6.64533,39.5889,1.62894,0.616639,0.795627,22.7511,0.0213738,1.65425,1.33527,7.64015,3.34739
38.5903,37.899,60.2354,1.58014,1.26148,1.44087,108.91,0.0391193,7.33665,6.64533,39.5892,1.55317,0.615224,0.794607,22.7286,0.0216587,1.65461,1.336,7.64795,3.35197
38.5903,37.899,60.2339,1.65422,1.25835,1.43934,108.853,0.039448,7.33665,6.64533,39.5877,1.62726,0.612095,0.793077,22.6718,0.0217086,1.65552,1.3353,7.66743,3.34756
38.5903,37.899,60.2342,1.53178,1.25836,1.4392,108.857,0.037438,7.33665,6.64533,39.5881,1.50482,0.612098,0.792942,22.6753,0.0206572,1.6555,1.33648,7.66671,3.35498
38.5903,37.899,60.2341,1.52598,1.25827,1.43908,108.843,0.0398746,7.33665,6.64533,39.5879,1.49901,0.612006,0.792817,22.6616,0.0212942,1.65567,1.33654,7.67094,3.35535
38.5903,37.899,60.2348,1.61024,1.26014,1.44001,108.869,0.0381971,7.33665,6.64533,39.5886,1.58328,0.613883,0.793755,22.6873,0.0214933,1.65527,1.33571,7.66179,3.35018
38.5903,37.899,60.2353,1.58278,1.26218,1.44155,108.905,0.0394894,7.33665,6.64533,39.5891,1.55581,0.615923,0.795294,22.7237,0.0216458,1.65466,1.33597,7.64908,3.35181
38.5903,37.899,60.2338,1.58688,1.25829,1.43926,108.859,0.0376726,7.33665,6.64533,39.5876,1.55992,0.612034,0.792997,22.6771,0.0212675,1.65547,1.33595,7.66594,3.35166
38.5903,37.899,60.2345,1.67046,1.25859,1.4389,108.871,0.0383321,7.33665,6.64533,39.5883,1.6435,0.612326,0.792645,22.6891,0.0216559,1.65528,1.33514,7.66204,3.34654
38.5903,37.899,60.235,1.53816,1.26214,1.44162,108.914,0.0383686,7.33665,6.64533,39.5889,1.5112,0.615885,0.79536,22.7325,0.0210636,1.65455,1.33641,7.64647,3.35455
38.5903,37.899,60.2344,1.61395,1.26045,1.44027,108.9,0.0387104,7.33665,6.64533,39.5882,1.58699,0.61419,0.794009,22.718,0.0215017,1.6548,1.33568,7.65187,3.34998
38.5903,37.899,60.2349,1.5409,1.26089,1.44049,108.907,0.0383882,7.33665,6.64533,39.5887,1.51393,0.614626,0.794229,22.725,0.0212691,1.65469,1.33638,7.64952,3.35439
38.5903,37.899,60.2351,1.61072,1.26143,1.44079,108.903,0.0387197,7.33665,6.64533,39.589,1.58375,0.615173,0.794526,22.7216,0.0212282,1.65472,1.33571,7.65036,3.35013
38.5903,37.899,60.2343,1.47141,1.25907,1.43958,108.87,0.0389626,7.33665,6.64533,39.5881,1.44445,0.612814,0.793319,22.6887,0.021339,1.65526,1.33706,7.66187,3.35866
38.5903,37.899,60.2337,1.56974,1.2593,1.43965,108.859,0.039436,7.33665,6.64533,39.5875,1.54278,0.613038,0.793394,22.6779,0.0214498,1.65541,1.33612,7.6652,3.3527
38.5903,37.899,60.235,1.64688,1.26022,1.44007,108.883,0.0392752,7.33665,6.64533,39.5889,1.61991,0.613964,0.793815,22.701,0.0217738,1.65505,1.33536,7.6573,3.34794
38.5903,37.899,60.2341,1.53528,1.25871,1.43945,108.859,0.0375152,7.33665,6.64533,39.5879,1.50832,0.612454,0.79319,22.6771,0.0208002,1.65546,1.33645,7.66591,3.35478
38.5903,37.899,60.2343,1.63918,1.25862,1.43931,108.829,0.0393354,7.33665,6.64533,39.5881,1.61221,0.612365,0.793055,22.6475,0.021775,1.65588,1.33544,7.67509,3.34845
38.5903,37.899,60.235,1.53963,1.26085,1.44054,108.879,0.0386206,7.33665,6.64533,39.5888,1.51266,0.614589,0.794277,22.6976,0.021174,1.65509,1.3364,7.65825,3.35446
38.5903,37.899,60.2337,1.51763,1.25861,1.43942,108.853,0.039415,7.33665,6.64533,39.5875,1.49067,0.61235,0.793157,22.6715,0.021328,1.65552,1.33662,7.66756,3.35588
38.5903,37.899,60.2339,1.51665,1.25938,1.44008,108.846,0.0380096,7.33665,6.64533,39.5877,1.48968,0.613124,0.79382,22.6648,0.0211313,1.65562,1.33663,7.66929,3.35593
38.5903,37.899,60.2337,1.58948,1.25775,1.43879,108.825,0.0382872,7.33665,6.64533,39.5876,1.56251,0.611491,0.792527,22.644,0.0212325,1.65597,1.33593,7.67683,3.3515
38.5903,37.899,60.2343,1.44187,1.26022,1.44033,108.87,0.0374669,7.33665,6.64533,39.5881,1.4149,0.613965,0.79407,22.6888,0.0204216,1.65525,1.33735,7.66155,3.36047
38.5903,37.899,60.2341,1.56604,1.25966,1.44009,108.846,0.0374562,7.33665,6.64533,39.5879,1.53908,0.613402,0.793829,22.6648,0.0208262,1.65562,1.33615,7.6693,3.35291
38.5903,37.899,60.2343,1.45663,1.25851,1.43924,108.843,0.0370306,7.33665,6.64533,39.5881,1.42967,0.612252,0.792986,22.6616,0.0205359,1.65571,1.3372,7.67104,3.35956
38.5903,37.899,60.2341,1.59597,1.25734,1.43836,108.821,0.0390873,7.33665,6.64533,39.588,1.56901,0.611086,0.7921,22.639,0.0217841,1.65604,1.33586,7.67849,3.35109
38.5903,37.899,60.2338,1.56112,1.2575,1.43857,108.824,0.0366561,7.33665,6.64533,39.5876,1.53416,0.611238,0.792313,22.6426,0.0204577,1.65602,1.3362,7.67766,3.35322
38.5903,37.899,60.2339,1.4859,1.25756,1.43849,108.837,0.0373319,7.33665,6.64533,39.5878,1.45893,0.611298,0.792232,22.6559,0.0204191,1.65581,1.33692,7.67343,3.3578
38.5903,37.899,60.2344,1.45361,1.2589,1.43955,108.841,0.0375291,7.33665,6.64533,39.5882,1.42665,0.612638,0.793289,22.6598,0.0205748,1.65571,1.33723,7.67138,3.35975
38.5903,37.899,60.2341,1.63751,1.25921,1.43961,108.853,0.0392914,7.33665,6.64533,39.588,1.61054,0.612952,0.793355,22.6711,0.0214245,1.65551,1.33546,7.66738,3.34856
38.5903,37.899,60.2338,1.54172,1.25851,1.43953,108.82,0.0379918,7.33665,6.64533,39.5877,1.51476,0.612253,0.793266,22.6383,0.020785,1.65603,1.33639,7.67829,3.3544
38.5903,37.899,60.2336,1.64021,1.258,1.43919,108.832,0.0390929,7.33665,6.64533,39.5874,1.61325,0.611745,0.792931,22.6503,0.0215336,1.65585,1.33544,7.6745,3.34843
38.5903,37.899,60.2332,1.55469,1.25675,1.43828,108.834,0.0390571,7.33665,6.64533,39.587,1.52773,0.610495,0.792019,22.6528,0.0211888,1.65585,1.33627,7.67451,3.35366
38.5903,37.899,60.2337,1.42601,1.25881,1.4395,108.834,0.0366915,7.33665,6.64533,39.5875,1.39904,0.612554,0.793245,22.6528,0.0204362,1.65583,1.33751,7.67369,3.36148
38.5903,37.899,60.2332,1.56007,1.25642,1.43808,108.805,0.0395775,7.33665,6.64533,39.587,1.53311,0.610156,0.791818,22.6231,0.0216335,1.65629,1.33621,7.68401,3.35333
38.5903,37.899,60.2333,1.53482,1.25698,1.43844,108.808,0.0380343,7.33665,6.64533,39.5871,1.50785,0.610717,0.792177,22.6263,0.0208962,1.65625,1.33646,7.68292,3.35486
38.5903,37.899,60.2336,1.47524,1.25893,1.43983,108.827,0.038094,7.33665,6.64533,39.5874,1.44827,0.612671,0.793572,22.6454,0.0207658,1.65591,1.33703,7.67581,3.35847
38.5903,37.899,60.2332,1.52981,1.25739,1.43868,108.825,0.0388043,7.33665,6.64533,39.587,1.50284,0.611135,0.792422,22.6436,0.0213667,1.65597,1.33651,7.67705,3.35517
38.5903,37.899,60.2344,1.6178,1.25941,1.4399,108.853,0.0400895,7.33665,6.64533,39.5882,1.59084,0.61315,0.793643,22.6714,0.0211741,1.65549,1.33565,7.66721,3.34974
38.5903,37.899,60.2336,1.52967,1.25773,1.43877,108.832,0.0391098,7.33665,6.64533,39.5874,1.5027,0.611467,0.792515,22.6507,0.0212738,1.65585,1.3365,7.67469,3.35515
38.5903,37.899,60.2338,1.45575,1.25697,1.43816,108.812,0.0386799,7.33665,6.64533,39.5876,1.42879,0.610712,0.791897,22.6302,0.020837,1.65618,1.33722,7.68178,3.35965
38.5903,37.899,60.2345,1.48898,1.26028,1.4403,108.888,0.0380176,7.33665,6.64533,39.5883,1.46201,0.61402,0.794037,22.706,0.0209938,1.65499,1.33689,7.65588,3.35758
38.5903,37.899,60.2339,1.6888,1.25808,1.43908,108.817,0.0394409,7.33665,6.64533,39.5878,1.66184,0.611817,0.79282,22.6352,0.0218425,1.65607,1.33496,7.67925,3.34546
38.5903,37.899,60.2331,1.5562,1.25478,1.43694,108.777,0.0381306,7.33665,6.64533,39.5869,1.52924,0.608524,0.790676,22.5956,0.0208455,1.65676,1.33625,7.69394,3.35356
38.5903,37.899,60.2336,1.56166,1.25804,1.43901,108.857,0.0383847,7.33665,6.64533,39.5875,1.5347,0.611781,0.792755,22.6753,0.0208811,1.65549,1.33619,7.66679,3.3532
38.5903,37.899,60.2343,1.57264,1.2588,1.43939,108.836,0.03856,7.33665,6.64533,39.5881,1.54568,0.612544,0.793133,22.6545,0.0207334,1.65578,1.33608,7.67309,3.35249
38.5903,37.899,60.2338,1.54233,1.25804,1.43871,108.873,0.0364764,7.33665,6.64533,39.5877,1.51537,0.611776,0.792452,22.6919,0.0205159,1.65528,1.33638,7.66173,3.35437
38.5903,37.899,60.2342,1.54349,1.25777,1.43868,108.845,0.0384193,7.33665,6.64533,39.588,1.51653,0.611508,0.792424,22.6633,0.0207073,1.65568,1.33637,7.67085,3.35427
38.5903,37.899,60.2334,1.53287,1.2564,1.43812,108.817,0.038165,7.33665,6.64533,39.5872,1.5059,0.610141,0.791865,22.6351,0.0213181,1.65613,1.33648,7.68027,3.35497
38.5903,37.899,60.2336,1.65479,1.25804,1.43909,108.817,0.0389055,7.33665,6.64533,39.5874,1.62782,0.611782,0.792831,22.6352,0.0213246,1.65608,1.3353,7.67942,3.34755
