1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.019059,-0.039871,-0.026890,-0.098381,-0.038574,-0.061961,-0.103865,0.005274,0.500712,0.548484,0.515184,0.591136,0.573485,0.564343,0.690331,0.600805
-0.023615,-0.045314,-0.025957,-0.098518,-0.035865,-0.061968,-0.103492,0.004693,0.498538,0.551336,0.513310,0.591028,0.570673,0.563899,0.691096,0.600612
-0.010625,-0.045944,-0.023884,-0.100492,-0.035558,-0.060395,-0.102912,0.004659,0.487016,0.549705,0.514343,0.590497,0.569981,0.564394,0.688166,0.599781
-0.021578,-0.042348,-0.027885,-0.101550,-0.034619,-0.061307,-0.103238,0.003902,0.502985,0.549898,0.515608,0.592025,0.570047,0.564338,0.689188,0.601001
-0.018755,-0.047795,-0.029494,-0.099248,-0.032358,-0.061826,-0.104379,0.005163,0.495242,0.548191,0.515970,0.587373,0.567311,0.564258,0.689170,0.600158
-0.020884,-0.043336,-0.025598,-0.098072,-0.035552,-0.060578,-0.105272,0.004291,0.492866,0.550844,0.515162,0.588181,0.571297,0.563632,0.690318,0.599900
-0.022719,-0.049840,-0.029028,-0.099312,-0.036954,-0.059238,-0.104353,0.005400,0.494736,0.553397,0.514094,0.588661,0.571068,0.562634,0.691067,0.599213
-0.013358,-0.045222,-0.028506,-0.103059,-0.037228,-0.059712,-0.103740,0.005756,0.490049,0.552727,0.515638,0.593016,0.572643,0.563189,0.689966,0.597797
-0.011931,-0.041707,-0.026179,-0.102721,-0.034491,-0.059609,-0.105001,0.006265,0.495840,0.552595,0.514943,0.589240,0.572402,0.562480,0.690471,0.598488
-0.010737,-0.044889,-0.025665,-0.100630,-0.034520,-0.062381,-0.105540,0.005161,0.487057,0.552631,0.516005,0.594100,0.571514,0.564143,0.689249,0.599276
-0.008373,-0.053398,-0.024816,-0.099165,-0.038383,-0.061402,-0.105420,0.006130,0.491637,0.551409,0.514709,0.588631,0.570093,0.564459,0.690983,0.598244
-0.017235,-0.036315,-0.025826,-0.103018,-0.037429,-0.062733,-0.104589,0.006806,0.496618,0.549744,0.516309,0.592122,0.570076,0.566269,0.690727,0.599657
-0.019428,-0.048718,-0.032360,-0.101495,-0.037090,-0.063079,-0.105408,0.005923,0.497899,0.553356,0.518454,0.593004,0.572488,0.567394,0.691075,0.598198
-0.011347,-0.043394,-0.029050,-0.100152,-0.038100,-0.064493,-0.104731,0.005720,0.490015,0.549955,0.517813,0.592246,0.571159,0.567406,0.690924,0.600515
-0.014817,-0.049913,-0.030078,-0.103177,-0.035774,-0.059712,-0.106679,0.006798,0.488734,0.553750,0.516290,0.592659,0.571288,0.565074,0.689770,0.599967
-0.018908,-0.045807,-0.027075,-0.102254,-0.036845,-0.061806,-0.106263,0.005867,0.505273,0.552402,0.515007,0.591533,0.575522,0.564546,0.690345,0.599175
-0.012361,-0.044397,-0.027673,-0.103226,-0.035947,-0.065244,-0.105669,0.006442,0.495787,0.551456,0.517062,0.594112,0.572403,0.566087,0.689772,0.599236
-0.008948,-0.043582,-0.025717,-0.098825,-0.036834,-0.063317,-0.105705,0.005566,0.494165,0.554181,0.516353,0.589581,0.573140,0.564395,0.689678,0.600442
-0.025659,-0.045857,-0.026541,-0.101280,-0.039446,-0.061692,-0.106782,0.005631,0.496289,0.552571,0.515399,0.588891,0.573259,0.565299,0.689057,0.599442
-0.016360,-0.046731,-0.035784,-0.105283,-0.035326,-0.063566,-0.106413,0.005897,0.493213,0.553644,0.519352,0.592494,0.572859,0.565868,0.689977,0.599201
-0.014499,-0.051623,-0.028292,-0.101504,-0.037468,-0.063099,-0.106899,0.005895,0.492236,0.552840,0.518718,0.591041,0.576831,0.564587,0.691390,0.598638
-0.020547,-0.048869,-0.023765,-0.097279,-0.038287,-0.063246,-0.106610,0.004386,0.494546,0.551679,0.517352,0.593076,0.574543,0.566726,0.688319,0.598916
-0.006223,-0.043999,-0.030809,-0.102477,-0.036277,-0.059515,-0.107520,0.004823,0.489142,0.553445,0.518703,0.595222,0.574675,0.565020,0.689884,0.599390
-0.008265,-0.046316,-0.029570,-0.098661,-0.035615,-0.060395,-0.106766,0.004964,0.494047,0.554496,0.515373,0.595375,0.573189,0.564017,0.689490,0.599210
-0.018925,-0.043585,-0.025429,-0.097073,-0.036316,-0.061544,-0.107296,0.005942,0.494387,0.553391,0.515091,0.588877,0.573557,0.566029,0.690102,0.598783
-0.016609,-0.040903,-0.028480,-0.098921,-0.035089,-0.061459,-0.107705,0.006145,0.496334,0.549171,0.515055,0.588284,0.573162,0.566601,0.689907,0.597457
