1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.003924,-0.000977,0.000035,-0.000041,-0.000019,0.000022,-0.000009,0.000073,0.029417,0.021216,0.019368,0.016998,0.019951,0.017608,0.007133,0.012506
0.003870,-0.000416,-0.000276,0.000122,-0.000214,-0.000670,0.000014,0.000171,0.025580,0.021802,0.021847,0.014661,0.015558,0.017884,0.005991,0.010481
0.003870,-0.000376,-0.000032,0.000314,0.000365,0.000401,0.000017,-0.000232,0.029289,0.024159,0.022375,0.015402,0.017763,0.018072,0.005561,0.010406
0.001808,0.000231,0.000081,-0.000011,0.000115,0.000039,0.000030,0.000250,0.031777,0.018920,0.017317,0.018459,0.016948,0.016683,0.005667,0.011470
-0.004141,-0.000856,-0.000431,-0.000105,-0.000124,0.000059,0.000021,0.000427,0.034452,0.020353,0.020398,0.012189,0.018936,0.013652,0.007164,0.010582
-0.000289,0.001913,0.000059,0.000201,0.000125,0.000136,-0.000011,-0.000165,0.031862,0.021155,0.020894,0.012486,0.014220,0.012701,0.005648,0.008216
-0.001935,0.001397,0.000715,-0.000008,0.000096,0.000168,0.000041,-0.000122,0.036675,0.020984,0.019250,0.012877,0.011144,0.012645,0.007518,0.008423
-0.001085,0.000033,0.000080,0.000220,0.000044,0.000244,0.000025,0.000372,0.033775,0.020726,0.019181,0.010124,0.013555,0.014099,0.005737,0.009007
0.003599,-0.000822,0.000508,-0.000747,-0.000178,0.000089,-0.000002,-0.000397,0.031391,0.015744,0.021070,0.019297,0.020639,0.018119,0.006493,0.012331
-0.004431,0.001198,-0.000647,0.000329,-0.000030,0.000110,0.000002,-0.000110,0.026297,0.018618,0.017676,0.014430,0.011564,0.011332,0.007706,0.009882
-0.003219,0.000058,-0.000278,0.000186,-0.000197,0.000164,0.000008,-0.000012,0.028824,0.021634,0.019581,0.014182,0.012499,0.012827,0.006254,0.008514
-0.000380,0.000101,-0.000237,-0.000463,-0.000083,-0.000075,0.000006,-0.000018,0.029675,0.018095,0.016149,0.020134,0.019169,0.011086,0.005569,0.007386
-0.002875,0.000847,-0.000710,0.000232,0.000205,-0.000233,0.000024,-0.000220,0.025557,0.018209,0.023786,0.020287,0.016614,0.015882,0.007335,0.010222
-0.004720,-0.000762,0.000577,0.000010,-0.000196,-0.000049,0.000007,0.000269,0.033070,0.015730,0.023260,0.019965,0.013249,0.011283,0.006998,0.010442
0.003689,-0.000573,-0.000451,0.000343,0.000175,0.000244,0.000016,0.000482,0.025827,0.017311,0.022387,0.019075,0.019811,0.016187,0.007262,0.010917
-0.004033,0.000841,0.000210,0.000192,0.000146,-0.000090,0.000030,-0.000653,0.031374,0.019824,0.024084,0.016124,0.020132,0.013360,0.006487,0.010407
0.004593,0.000317,-0.000038,0.000137,-0.000218,-0.000042,0.000007,-0.000635,0.029184,0.016727,0.015169,0.015983,0.019143,0.011689,0.005170,0.013290
-0.003924,0.000863,-0.000452,-0.000152,-0.000421,-0.000277,-0.000001,0.000269,0.035575,0.024782,0.018981,0.017350,0.019028,0.017808,0.006064,0.011046
0.000958,-0.000714,-0.000182,0.000293,0.000033,0.000017,0.000004,0.000500,0.032079,0.020372,0.020030,0.018607,0.013765,0.015040,0.006292,0.010899
-0.000977,0.002298,-0.000038,0.000402,0.000166,0.000300,0.000061,-0.000061,0.029064,0.019189,0.019333,0.018658,0.019566,0.011962,0.005715,0.011654
0.000127,0.002602,-0.000183,0.000028,0.000085,0.000252,0.000015,0.000067,0.035217,0.024012,0.017011,0.016593,0.017428,0.017866,0.005762,0.009140
-0.000362,0.001642,0.000758,-0.000132,0.000092,0.000111,0.000065,-0.000354,0.028529,0.026062,0.023987,0.018114,0.017849,0.011960,0.007645,0.012563
0.005787,0.001195,-0.000472,0.000001,-0.000004,-0.000189,0.000043,0.000037,0.034428,0.025886,0.016502,0.018470,0.017096,0.016872,0.005842,0.010627
0.000344,0.000510,-0.000678,0.000040,-0.000357,-0.000031,-0.000012,-0.000134,0.032685,0.021374,0.020558,0.018456,0.021004,0.011946,0.005388,0.010979
0.006709,0.001000,0.000225,0.000030,-0.000038,0.000213,-0.000007,-0.000018,0.027873,0.017810,0.017917,0.018912,0.019796,0.015831,0.005269,0.009182
-0.002441,-0.000046,-0.000765,-0.000043,-0.000236,-0.000018,-0.000052,-0.000195,0.027061,0.018574,0.024200,0.018096,0.016135,0.019107,0.007833,0.010553
-0.007089,0.001214,0.000038,0.000038,-0.000311,0.000318,-0.000006,-0.000177,0.026763,0.023544,0.017765,0.014309,0.018403,0.013135,0.006743,0.011304
-0.005136,0.000206,-0.000110,0.000098,-0.000098,-0.000024,-0.000015,-0.000104,0.029518,0.021313,0.020439,0.019523,0.013874,0.013706,0.006772,0.007639
0.000760,-0.000551,-0.000035,-0.000056,-0.000098,-0.000023,-0.000005,-0.000024,0.027182,0.025486,0.020538,0.015295,0.013118,0.012202,0.007552,0.010409
